id,title,description,current_experience_level,current_job_type,human_experience_level,human_job_type
2,https phase.community job_role teachers,There has been a critical error on this website. Learn more about troubleshooting WordPress. Please mention the word **STEADY** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,Unknown,Unknown,Unknown,Unknown
10,Paralegal,"Why join Giga The Pace: We're building at a speed most companies talk about but never actually operate at. If you've been bored somewhere else, you won't be here. The Impact: Every person at Giga touches the work that matters. No layers, no waiting for approval chains. You'll see your fingerprints on what we ship. The Team: A team of operators defining the future of AI infrastructure. We recruit A-players from the most innovative companies in the world, and they choose Giga because the work here means more. The Moment: AI doesn't run without power, and that's us. Giga is the picks and shovels behind the AI revolution. This industry is about to explode, and you'll be in the room where it's already happening. What Youâll Do As Paralegal , youâll take full ownership of the NDA & intake process. Youâll drive NDAs to execution independently, without attorneys needing to be involved. Youâll maintain a centralized legal intake process â a single place where requests come in, get triaged, and get worked â and then hold the rest of the company accountable to using it. Youâll own the signature pipeline end to end: queuing documents, sending them out, and tracking them to completion. This is a highly autonomous role: youâll be given the outcome we need and trusted to enforce the process to get there, adapting as priorities shift. This role starts as an individual contributor with real scope across every project at Giga, and thereâs a clear path to take on bigger, more complex work as you prove out the process. Where youâll work This role is remote. Travel is light â expect roughly 0â10%, mainly for occasional in-person team time. Responsibilities Own the end-to-end NDA process â draft, negotiate, and drive NDAs to execution independently, escalating to attorneys only on true edge cases. Design and own a centralized legal intake process, replacing todayâs scattered mix of personal email, Slack channels and DMs, and texts with a single, clear front door for legal requests. Triage incoming legal requests â route them appropriately and set expectations on turnaround. Enforce the intake process company-wide: when requests bypass it, redirect requesters back into the right workflow, including on Daveâs behalf. Manage the full signature pipeline â queue documents, send for e-signature, and track them to completion. Maintain and organize the contract repository so agreements are easy to find, track, and report on. Partner with attorneys and business teams to keep the legal function organized and responsive as request volume grows. Take on larger, higher-complexity projects as you build trust and track record in the role. Requirements 7+ years of experience as a paralegal or in a similar legal operations role. Experience independently managing NDAs from drafting through execution. Experience building, running, or significantly improving a legal intake or triage process. Working knowledge of e-signature tools, contract repositories, and contract lifecycle management (CLM) tools. Ability to work autonomously with minimal oversight, exercising sound judgment on when to escalate to attorneys. Comfortable enforcing process consistently while staying flexible as priorities and workflows shift. Bonus points Paralegal certificate. 10+ years of experience in a legal operations or paralegal role. Experience standing up legal intake or operations processes from scratch. Experience supporting legal teams at a high-growth or fast-paced company. Experience preparing legal notes or executive briefs. Benefits Subsidized health, dental, and vision insurance Equity (options) in a rapidly growing startup 401(k) with 4% employer match Unlimited PTO Parental leave Healthcare and Dependent Care Flexible Spending Accounts (FSA) or Health Savings Account (HSA) Commuter benefits Monthly team on-sites where all offices come in-person to collaborate Who We Hire We hire people who thrive in chaos and get sharper under pressure. You don't wait to be told what to do, you spot the gap and fill it. When there's work to be done, you do it. You make decisions with the information you have, move fast, and adjust along the way. We're not looking for perfect; we're looking for people who get things done. Equal Opportunity Employer Statement Giga Energy is an equal opportunity employer and is committed to fostering an inclusive and diverse workplace. We do not discriminate based on race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, veteran status, or any other protected characteristic as outlined by federal, state, or local laws. Giga Energy complies with all applicable labor laws, including the California Fair Employment and Housing Act (FEHA) and other relevant state and federal regulations. We provide reasonable accommodations for qualified individuals with disabilities and encourage applicants who require accommodations during the hiring process to contact us. Please mention the word **PURPOSEFUL** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",Executive,Unknown,Senior,Unknown
11,Architect CAD &amp; Construction Documentation,"Job Description Role Title: Architect CAD & Construction Documentation Role Type: Contract Location: Remote Scope Of Work Create detailed floor plans and elevation sets based on project requirements Develop comprehensive CAD drawings for architectural and engineering purposes Prepare accurate Geometric Dimensioning and Tolerancing (GD&T) callouts for manufacturing documentation Produce and annotate multi-sheet electrical schematics to industry standards Design and review PCB layouts, integrating best practices for manufacturability and functionality Collaborate through exchanges to clarify requirements and resolve technical questions Deliver thorough documentation packages consistent with project milestones and quality expectations Preferred Qualifications Minimum of 3 years of recent experience in architectural CAD and construction documentation Proficiency with industry-standard tools for 2D/3D CAD and PCB layout design Proven ability to generate and interpret GD&T callouts and complex schematic diagrams Experience developing multi-sheet electrical schematics and integrating PCB layouts within building projects Strong attention to detail and organizational skills for managing multi-document sets Advanced communication skills in English Background in collaborating on remote, cross-functional projects is a plus Please mention the word **LOVING** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",Mid,Unknown,Mid,Contract
19,Compliance Administrator,Posted 11:58:25 AM. Job Type: Full-TimeWork Mode: Remote (United Kingdom)Experience: 0â2 YearsIndustry: Compliance |â¦See this and similar jobs on LinkedIn. Please mention the word **SMITTEN** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,Unknown,Unknown,Unknown,Unknown
20,Performance Marketing Lead,Posted 1:17:30 PM. Location: Remote (UK)Full-timeReports directly to the FounderAbout Get In Good NickWe're buildingâ¦See this and similar jobs on LinkedIn. Please mention the word **CREDIBLE** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,Unknown,Unknown,Unknown,Unknown
30,Neuroscientist â Fully,"Posted 3:47:39 AM. Neuroscientist â Consumer Decision Science (via CoTrain) Remote Â· 3â6 months Â· $4,500â$15,000 /â¦See this and similar jobs on LinkedIn. Please mention the word **SATISFIED** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",Unknown,Unknown,Unknown,Unknown
31,Proofreader,Department: ProductLocation: Remote - USACompensation: $25.00 / hourDescriptionRewrite theâ¦See this and similar jobs on LinkedIn. Please mention the word **COHERENCE** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,Unknown,Unknown,Unknown,Unknown
37,QA Online,Deskripsi Pekerjaan Melakukan pengawasan dan pengendalian mutu produk secara real-time selama proses produksi berlangsung Please mention the word **GOOD** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,Unknown,Unknown,Unknown,Unknown
38,Merchandising Operations Manager,"Grove Collaborative is a sustainability-focused consumer products company creating household and personal care essentials that are effective, beautifully designed, and healthier for people and the planet. We are a certified B Corp, plastic-neutral, and on a mission to transform the CPG industry for good. Merchandising Operations Manager Grove's merchandising operation is full of good instincts running on manual work. This role exists to fix that: redesign the core processes, then personally build the automation that makes them stick. This is a rare shot at rebuilding how merchandising actually runs, and at proving AI belongs in the hands of the person closest to the problem, not just the AI team. We're not hiring someone to write a strategy memo about AI and hand it off. We're hiring someone who will map the workflow, feel where it breaks, and then sit down and build the thing that fixes it. More About the Opportunity Merchandising at Grove runs on real expertise and too much manual glue. Buyers chase vendors for the same data, week after week. Marketing launches promotions inventory finds out about too late. Good people spend their time on work a workflow should be doing for them. We have an internal AI team. They coach. They don't build for you. This role is for the person who wants their hands on the keyboard, not the person who scopes it and waits. The honest version: no template here. You're defining the standard as you go, with review at key milestones and real autonomy in between. Some of what you build will work on the first try. Some won't. That's the job. What You'll Own Map how merchandising actually works today, not how the org chart says it works. Redesign core operating processes for speed, accuracy, and margin protection: assortment planning, item setup, pricing and markdown, vendor and PO management, allocation, replenishment. Own the calendar connecting marketing activations to inventory, so launches are stock-backed, not a surprise to the warehouse. Translate activation plans into buy, allocation, and replenishment signals; flag stock risk before launch, not after. Coordinate vendor commitments tied to activations: fill rates, lead times, launch quantities. Build self-service tools and proactive alerts that scale the buyer-vendor relationship, including visibility into vendor performance. Build the automation yourself, using Claude and comparable AI tools, no/low-code platforms, and lightweight automation, from concept through rollout. Run pilots end to end: scope, build, test for accuracy, validate fit, scale. Keep humans in the loop on margin- and inventory-critical decisions. Maintain a registry of approved tools and active automations, so what exists and what it's for is never a mystery. Own change management for every rollout: training, AI literacy for non-technical audiences, office hours, a bench of power users. Build reporting on process and automation performance, and use it to prioritize what gets built next. About You Real fluency in retail merchandising operations, not an adjacent function you've watched from a distance. You've mapped a broken process and redesigned it, not just diagnosed it. Basic technical acumen and a genuine willingness to build, no engineering background required. Comfortable working with a specialist team as a coaching resource, not a build team, and taking their guidance without handing off your job. You've run a pilot from scoping through adoption, and you know the gap between a demo and something people actually use. You care about the boring, durable stuff: documentation, SOPs, registries, training, the things that outlast the person who built them. You think in workflows and root causes, not tickets. You know the difference between a problem worth automating and one worth leaving alone. Even Better if You Have Built something with Claude or a comparable AI tool that a non-technical team now relies on. Experience connecting marketing or demand planning to inventory and allocation. Designed a self-service tool that measurably cut manual buyer-vendor back-and-forth. A retail, CPG, or commerce background with real fluency in vendor and marketplace dynamics. WHAT'S IN IT FOR YOU This full-time, exempt position is remote for candidates based in the following states: California, Maine, Pennsylvania, Nevada, North Carolina, Texas, Colorado, Washington, Illinois, New York, Missouri, and Massachusetts. Competitive benefits - medical, vision, dental Equity - shared success is core to our mission Flexible Paid Time Off - we care most about results Free VIP membership and 50% employee discount Working for a company that believes that a small group of people can change the world for the better by creating products and funding initiatives that help the planet! COMPENSATION The salary range for this role is $135,000-165,000. Our compensation bands are determined based on market-specific cost of living data, meaning that the top of our salary range is reserved for the most experienced candidates in the highest cost of living areas across the country. In addition to the base salary, this role is eligible for an annual incentive target and equity. MORE ABOUT GROVE Grove Collaborative Holdings, Inc. (NYSE: GROV) is the one-stop online destination for everyday essentials that create a healthier home and planet. Explore thousands of thoughtfully vetted products for every room and everyone in your home, including household cleaning, personal care, health and wellness, laundry, clean beauty, kitchen, pantry, kids, baby, pet care, and beyond. Everything Grove sells meets a higher standard â from health to sustainability and performance â so you get a great value without compromising your values. As a B Corp and Public Benefit Corporation, Grove goes beyond selling products: every order is carbon neutral, supports plastic waste cleanup initiatives, and lets you see and track the positive impact of your choices. Shopping with purpose starts at Grove.com. We're building a diverse and inclusive work environment where we learn from each other. We welcome people of diverse backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer. If you require reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to Talent@grove.co. For information on our privacy policy, visit this link on our website. Please mention the word **POWERFULLY** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",Unknown,Full-time,Unknown,Full-time
40,Business Development Executive,"This is a remote position.What We DoAt Outsource Access, we help HR professionals and businessâ¦ Please mention the word **CLEAN** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",Unknown,Unknown,Unknown,Unknown
