job_id,title,description,skills,rules_v2_prediction,human_label
158,IT Projektmanager Software Implementierung (m/w/d),"Im Auftrag unser Partnerunternehmen in München suchen wir Sie als „IT Projektmanager Software Implementierung (m/w/d)“. Aufgaben Als IT Projektmanager (m/w/d) leiten und steuern Sie internationale Kundenprojekte zur Implementierung von Softwarelösungen im Bereich Instandhaltung und Flottenmanagement Als zentrale Schnittstelle koordinieren Sie die Zusammenarbeit zwischen Kunden, internen Fachbereichen und externen Dienstleistern Sie erfassen und analysieren Kundenanforderungen und überführen diese in strukturierte technische Spezifikationen und Arbeitspakete Darüber hinaus übernehmen Sie das Projektcontrolling inklusive Meilensteinplanung, Risikoanalyse sowie das aktive Gegensteuern bei Abweichungen Zusätzlich verantworten Sie das Stakeholder-Reporting und stellen eine transparente Kommunikation gegenüber Kunden und Management sicher Qualifikation Grundlage bildet ein abgeschlossenes Studium in Wirtschaftsinformatik, Informatik, Wirtschaftsingenieurwesen oder eine vergleichbare Qualifikation; alternativ eine IT-Ausbildung mit mehrjähriger Erfahrung im Projektmanagement Sie verfügen über fundiertes technisches Verständnis von Softwarearchitekturen, Schnittstellen (APIs) und Entwicklu",project management,Product & Management,Product & Management
192,IT-System Engineer (m/w/d),"Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf optimaler Systeme. Unser motiviertes Team gibt täglich sein Bestes, um unsere Kunden immer wieder neu zu begeistern. Wir suchen Dich zum nächstmöglichen Zeitpunkt als Teammitglied unseres Fachbereichs IT-Consulting am Standort Bochum. Werde Teil der thinkGROUP und unterstütze uns als IT-System Engineer (m/w/d). Aufgaben Betriebsverantwortung der Windows Server Infrastruktur unserer Kunden einschließlich der eingesetzten Produkte und Features Bearbeitung von Incidents sowie Service Requests proaktive Überwachung der Windows Server in den Kunden-Umgebungen eigenstädige Anpassung von Systemkonfigurationen sowie die Erstellung und Ergänzung entsprechender Dokumentationen selbstständige Installation und Projektübernahme im Bereich Windows Server Migration älterer Installationen auf aktuelle Stadards inkl. sämtlicher Abhängigkeiten fachliche Bera",it,DevOps & Cloud,DevOps & Cloud
266,"Steuerberater (m/w/d) in Schopp, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","TaxTalente ist die Nr. 1 Job-Matching Plattform für Jobsuchende in der Steuerberatung. Sie suchen eine positive berufliche Veränderung? Sie möchten den nächsten Schritt in Ihrer Karriere gehen und streben möglicherweise sogar eine Partnerschaft in einer zukunftsorientierten Kanzlei an? Sie möchten endlich wieder in einem positiven Arbeitsumfeld arbeiten, in dem Sie finanziell und persönlich wertgeschätzt werden? Sie suchen nach Tätigkeiten, die Sie auch wirklich weiterbringen? Sofern Sie sich in mindestens einem der genannten Punkte wiederfinden, sollten Sie sich bei uns melden. Wir haben die attraktivsten Arbeitgeber der Steuerberatungsbranche in unserem Netzwerk und bringen zusammen, was zusammengehört. Grenzenlose Entwicklungschancen mit Partnermöglichkeiten, vielschichtige Tätigkeitsbereiche, Gehälter wie in der Industrie und vieles mehr – melden Sie sich bei uns und wir unterstützen Sie auf Ihrem weiteren Karriereweg! Derzeit suchen wir nach einem Steuerberater (m/w/d) für eine unserer Partner-Kanzleien in Schopp Bei Rückfragen kannst du dich gerne jederzeit (auch nach deinem Feierabend) direkt telefonisch an Herrn Becker-Koch über folgende Nummer wenden: 015901431130 Aufgaben","directors, chief executives",Other,Other
292,Technical Account Manager B2B  M2M-Mobilfunk (m/w/d),"Was prettyTELCO von anderen Personalvermittlungen abhebt, ist unser Fokus auf die Vermittlung von Menschen, die nicht nur fachlich qualifiziert sind, sondern auch menschlich perfekt ins Unternehmen passen. 🤝🏻 Wir agieren deutschlandweit innerhalb der Telekommunikationsbranche und legen großen Wert auf einen persönlichen Ansatz. Wir nehmen uns Zeit, sowohl Unternehmen als auch Kandidaten kennenzulernen, um deren Wünsche und Anforderungen genau zu verstehen. Denn bei uns steht der Mensch im Mittelpunkt – niemand ist nur eine Nummer bei uns! 🚀 Aufgaben Du berätst und betreust unsere Geschäftskunden ganzheitlich bei allen technischen Herausforderungen im Umfeld krisensicherer M2M Kommunikation u.a. Smart Grid und Smart Metering Du bin erster technischer Ansprechpartner und managst die Kundenprojekte von der Presales-Beratung über das Technical Onboarding und die Pilotierung bis hin zur stabilen Inbetriebnahme und Erweiterung. Du unterstützt den Vertrieb im Presales durch technische Beratung, Konzeptionierung und Präsentationen beim Kunden Du bearbeitest technische Fragestellungen Ihrer Kunden und übernimmst die strukturierte Fehleranalyse sowie nachhaltige Problemlösung im Testing und ",it,Other,Other
146,Personalreferent HR Administration & Arbeitnehmerüberlassung (m/w/d),"Personalreferent HR Administration & Arbeitnehmerüberlassung (m/w/d) gesucht – Vollzeit | München Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „Personalreferent (m/w/d)“. Aufgaben Sie betreuen personaladministrative Prozesse über den gesamten Employee Lifecycle – von der Einstellung bis zum Austritt Sie begleiten personelle Einzelmaßnahmen, erstellen arbeitsrechtliche Dokumente und arbeiten vertrauensvoll mit Führungskräften, Betriebsrat und internen Schnittstellen zusammen Darüber hinaus übernehmen Sie die Betreuung der Arbeitnehmerüberlassung sowie weiterer administrativer HR-Themen Sie beraten Mitarbeitende und Führungskräfte zu personalrelevanten Themen und koordinieren verschiedene Maßnahmen Zusätzlich wirken Sie an HR-Projekten mit und unterstützen die kontinuierliche Optimierung administrativer Personalprozesse Qualifikation Grundlage bildet eine Ausbildung als Personaldienstleistungskaufmann (m/w/d), Industriekaufmann (m/w/d), Kaufmann für Büromanagement (m/w/d) mit HR-Weiterbildung oder eine vergleichbare Qualifikation Sie bringen Sie einschlägige Berufserfahrung als Personalreferent (m/w/d), HR Specialist (m/w/d), Pers",hr,Other,Other
304,Sachbearbeiter:in Marktforschung (m/w/d),"Du arbeitest gerne mit Zahlen, hast ein Auge fürs Detail und möchtest aus Befragungsdaten wertvolle Erkenntnisse gewinnen? Dann bist du bei uns genau richtig! Du begleitest Befragungen und Produkttest-Kampagnen von der Fragebogenerstellung bis zur Auswertung und unterstützt unsere Teams mit fundierten Analysen. Als führendes Verbraucherportal für neue Lebensmittel und Markenprodukte inspiriert brandnooz seit über 17 Jahren Food-Fans in ganz Deutschland. Mit unseren Lebensmittelboxen und Produkttest-Kampagnen bringen wir neue Trends direkt nach Hause und verknüpfen mehr als 1.000 Unternehmen aus der Lebensmittel- und Konsumgüterbranche mit unserer Community aus 480.000 Noozies. Im Bereich Marktforschung suchen wir ab sofort Unterstützung in Vollzeit. Vielleicht können wir dich demnächst schon als Neuzugang in unserem Foodieversum willkommen heißen. Aufgaben Du erstellst und programmierst Online-Fragebögen für unsere Box-Befragungen, Produkttests sowie weitere interne und externe Marktforschungsprojekte. Du betreust quantitative Befragungen von der Vorbereitung über die Durchführung bis zum Abschluss. Du entwickelst und analysierst Befragungen zu unternehmensrelevanten Themen wie Sor","market research, analysis",Data > Analytics,Data > Analytics
563,Junior Paid Social Specialist,"Junior Paid Social Specialist (m/w/d) – München Du hast erste Berufserfahrung im Online Marketing gesammelt und möchtest dich weiterentwickeln? Dann bist du bei uns richtig. Cyrus Digital ist eine der führenden Boutique-Agenturen für Performance Marketing im E-Commerce. Wir betreuen renommierte D2C-Brands – darunter Luxusbetten24, Pammys, Freiluftkind und viele mehr. Im Herzen Schwabings bilden wir dich von Grund auf aus: Rund ein Jahr Erfahrung in einem beliebigen Bereich des Online Marketings genügt – den Rest bringen wir dir bei, strukturiert und unter direkter Anleitung erfahrener Kollegen. Aufgaben Mitarbeit an Kampagnenaufbau und laufender Optimierung. Schrittweise Übernahme eigener Account-Verantwortung für echte Brands – bis hin zur vollständig eigenständigen Betreuung. Strategische Weiterentwicklung deiner Kunden – vom Umsetzer zum Sparringspartner auf Augenhöhe. Qualifikation Etwa ein Jahr Berufserfahrung im Online Marketing – die Disziplin ist zweitrangig. Sorgfältige, eigeninitiative Arbeitsweise und Freude an der Arbeit mit Zahlen. Wohnsitz in München oder Umzugsbereitschaft, sehr gute Deutschkenntnisse. Benefits Eine fundierte Ausbildung zum Performance Marketer – mit",online marketing,Other,Other
337,CRM Manager (all genders),"Deine Aufgaben Wir suchen eine:n hands-on CRM-Manager mit starkem Gespür für Copywriting und grundlegenden Designkenntnissen. Du wirst unsere E-Mail- und Automationskampagnen gestalten, die Conversion optimieren und kreative Ideen in unseren CRM-Kanälen umsetzen. Verwaltung und Umsetzung von CRM-Kampagnen Schreiben von conversionstarken, ansprechenden Texten Erstellung einfacher Visuals und Assets Kontinuierliches Testen, Optimieren und Auswerten der Kampagnen Nutzung von AI-Tools, um Kampagnen, Content-Erstellung und Automatisierungen zu verbessern Zusammenarbeit mit dem Marketing-Team, um neue Ideen und Strategien umzusetzen Dein Profil Erfahrung mit CRM-Tools (z. B. Klaviyo, Loop, Charles) Starkes Copywriting mit Fokus auf Conversion Grundkenntnisse in Design (Figma, Canva oder ähnliche Tools) Ausgeprägte Neugier, Lust auf Testen und Experimentieren Zahlenaffinität und die Fähigkeit, Kampagnenergebnisse zu interpretieren (z.B. GetKlar, Google) Erfahrung im Arbeiten mit AI zur Optimierung von Kampagnen, Content-Erstellung und Automatisierungen Hands-on Mentalität und eigenständiges Arbeiten Warum wir? Wir bieten dir die Möglichkeit, deinen Arbeitstag 100 % flexibel zu gestalten. ","remote, crm, direct marketing",Other,Other
471,Entwicklungsingenieur Functional Safety / Functional Safety Manager (m/w/x),"Projektbeschreibung: Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Automobilbranche suchen wir einen Entwicklungsingenieur Functional Safety / Functional Safety Manager (m/w/x) in Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennenzulernen – und gemeinsam mit Leidenschaft und Teamgeist an spannenden Projekten und zukunftsweisenden Technologien zu arbeiten. Aufgaben: Verantwortung für Functional Safety Aktivitäten gemäß ISO 26262 über den gesamten Entwicklungszyklus Erstellung und Review von: Item Definitions, HARA (Hazard Analysis and Risk Assessment), Functional Safety Concepts, Technical Safety Concepts, FTA, FMEA, Safety Cases Definition und Bewertung von Sicherheitsanforderungen bis ASIL D Durchführung von Sicherheitsanalysen (FTA, FMEA, FMEDA, DFA) Unterstützung bei Sicherheitsfreigaben und Audits Zusammenarbeit mit System-, Software-, Hardware- und Testteams Abstimmung mit Kunden und Zulieferern Weiterentwicklung interner Safety Prozesse und -Methoden Qualifikationen: Tiefgehende Kenntnisse der ISO 26262 Erfahrung mit komplexen E/E-Architekturen Erfahrung mit Sicherheitsanalysen: FMEA, FMEDA, FTA D",automotive engineering,Other,Other
511,Werkstudent*in Prototypenbau (15-20 std/w),"Vor 20 Jahren haben wir die DHL Packstation erfunden – das weltweit erste stationäre Locker-System. Heute bauen wir bei Smarcel die nächste Revolution: einen mobilen, automatisierten Paket-Locker, der jeden Tag dorthin fährt, wo die Kund:innen sind. Gerade entwickeln wir den Smarcel Core – eine kleinere, kostengünstige Version unseres Systems. Und genau dafür suchen wir dich: jemanden, der mit anpackt, schraubt, konstruiert und Prototypen zum Leben erweckt. Aufgaben Du unterstützt unser Team in der Konstruktion Du baust mit uns Prototypen auf – von der Idee bis zum fertigen Aufbau Du begleitest die Pilotierung unserer Prototypen im Feld Du bringst eigene Ideen ein und entwickelst die Prototypen weiter Du hilfst beim technischen Einkauf und pflegst unsere Stücklisten (BOM) Qualifikation Du studierst Maschinenbau, Mechatronik, Elektrotechnik o. Ä. ab dem 4. Semester Du hast praktische Werkstatt-Erfahrung – eine handwerkliche Ausbildung wäre der absolute Hammer Du hast Lust auf eine längerfristige Zusammenarbeit Programmiererfahrung ist ein Plus Du warst in studentischen Projekten wie Formula Student, Solar Car o. Ä. aktiv? Dann wollen wir unbedingt mit dir reden! Benefits Eine faire ",automotive engineering,Other,Other
